,Notebooking,Origami (Figure),Origami (Modular),Paper Craft,Paper Flight,Popsicle Sticks,Fiber Art,Hands-On Science,3D Printing 101 (Prusa Mini),Vinyl Cutting (Cameo),Laser Cutting 101 (Muse),Digital Embroidery 101 (Brother PE800),Electronics 101,Mechatronics,Engineering 101,Turtle Stitch,Block Coding 101 (scratch),Pygamer,Biomimicry,Lego,Pipe Cleaners,3D Pen
,,,,,,,Yarn Dolls: Instructions | https://www.instructables.com/Yarn-Dolls-1/,Mind Reader | https://drive.google.com/file/d/1BAkhRoxQF9QVhZEfiQyR8pI1HumePlen/view?usp=drive_link,,,Keychain | https://docs.google.com/document/d/1W617q1dH_ef_9ndTik_k4LD4Yff653xU/edit,,Cu Tape Torch Instructable w/ video | https://www.instructables.com/Circuit-Torch/,,,Jump Stitch | https://docs.google.com/drawings/d/1Ai9GZJPne_Y2klYSPBWYpv8NQBClTw0PjSCNaWUiZAg/edit?usp=sharing,Creating Music | https://docs.google.com/document/d/1qVlWeijstxURBSt492prJrz8iliEZYG0/edit,,Paper Helicopter Video | https://youtu.be/zTakrjE9yCo?feature=shared,,,
,,Cat Face: Instructions | http://origami.me/cat-face/,,Rabbit: Instructions | https://drive.google.com/file/d/1NomLFoQW1nE5lvVgJl0L6miMQMjVfjdN/view?usp=sharing,,Exploding Popsicle Sticks: Instructions | https://www.instructables.com/Popsicle-Stick-Bomb-2/,Yarn Dolls: Video | https://www.youtube.com/watch?v=bDGdD21y3nI,OR Mind Reader Video! (Super helpful!) | https://youtu.be/cT8sQiUJipg?si=KCTKLWDMNlDT8OVB,,,Coaster | https://docs.google.com/document/d/1hdf0m-t-J9EF1vZiVz8-334qMj6Cln7o/edit,,,,,,Creating Games | https://docs.google.com/document/d/1Sz4EbNaD_G7nJi2h7BgZcgXmG7Fm--mz/edit,,,,,FIx a 3D Print | https://docs.google.com/document/d/1yS_LKKFY341gP8LiCus3zHDoCF7BvIg3tzqDRYIU0iM/edit?usp=sharing
,,Cat Face: Video | https://www.youtube.com/watch?v=lLmtLKVMoAs,,Rabbit: Video | https://youtu.be/2DfFoVoeYow?feature=shared,,Exploding Popsicle Sticks: Video | https://youtu.be/GQyGDKklVPU?feature=shared,,,,,Tic-Tac-Toe Set | https://docs.google.com/document/d/1drz-Kdm0iqL8p7vVZE50z6SV-4EK_34A/edit,,,,,,Creating Stories | https://docs.google.com/document/d/1HPrmWclfelbzwD_eTH4RxPOW-1E1Vb0A/edit,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
,,Simple Frog: Instructions | https://www.origamiway.com/easy-origami-frog.shtml,,,,,,,,,,,,,,,,,,,,
,,Simple Frog: Video | https://www.youtube.com/watch?v=1kZjq8f8Mpo,,,,,,,Lithophane in FlashPrint | https://drive.google.com/open?id=13ZW3JMHMBOVJriVCoxsfjZ0r6-7dP7ujKPQG5CWSI-g,,,,,,,,,,Make a cardbaord claw hand,Design a building for a Base on Mars,,
,Simple Sketching | https://docs.google.com/document/d/1MhpQloHlCB4Wn8asrfQImHiphBb5rfIrVwWenKiMX24/edit?usp=sharing,Cicada: Instructions | http://origami.me/cicada/,Sunken Octahedron: Instructions | https://docs.google.com/document/d/1vToFCTdHDbcYkI2YD79fDYa8ZD2H_EOt/edit,Paper Fortune Teller: Instructions | https://www.origamiway.com/paper-fortune-teller/,Spy Plane Paper Airplane: Instructions | https://www.origamiway.com/plane-spy-plane.shtml,Popsicle Stick Icosahedron: Instructions | https://www.instructables.com/Popsicle-Stick-Icosahedron/,String Art with Paperclips | https://www.instructables.com/String-Art-With-Paperclips/,Candy Chromatography | https://drive.google.com/file/d/126E2Z_B8nCq8JpA4ia0i9Z7Ljf9C5c5M/view?usp=drive_link,Extruded Traced Bitmap | https://drive.google.com/open?id=1denVgeSQwDsPCYnQwmxJzHssLNW7ZehRVtUEQJTUacs,,,,Simple LED Circuit | https://docs.google.com/document/d/1sxRiEsIo-oyoy2xQXOsAdUqUbkZXUBD4/edit,Cam and Follower | https://docs.google.com/presentation/d/1M6siUEXQSTYWsuqMaWkWy-U8uVWBzDuhjr71Ipd_Tgs/edit?usp=sharing,Build a Toothpick Tower | http://www.crscience.org/pdf/Marshmallow_toothpick_challenge.pdf,Block | https://docs.google.com/drawings/d/1rKU7QiAU4R58gZ_htZsBuL3MOOsGYcj3SEXsOQpvA7Y/edit?usp=sharing,Talking Tales | https://docs.google.com/document/d/1k4m15sPw9s45uFCIbkKiVnW92gLTpkmf/edit,Load the above code into the PyGamer | https://learn.adafruit.com/adafruit-pygamer/load-makecode-game-on-pybadge,,,Pipe Cleaner Jellyfish | https://www.youtube.com/watch?v=vlJFI1GfQOc&t=79s,2D Drawing | https://docs.google.com/document/d/1eiqnsKYFODBw_7ibTZXMK6Noh-TRsrimBCCEGgnahTg/edit?usp=sharing
,,Cicada: Video | https://www.youtube.com/watch?v=HkHX18n4tak,Sunken Octahedron: Video | https://www.youtube.com/watch?v=qWk8WVvWrM8,Paper Fortune Teller: Video | https://youtu.be/g6BrDm9tYbE?feature=shared,Spy Plane Paper Airplane: Video | https://youtu.be/VfWAGxQZaDc?feature=shared,Popsicle Stick Icosahedron: Video | https://youtu.be/xL7esJK-b2U?feature=shared,Friendship Bracelet Cable Wrap | https://www.instructables.com/Chevron-Friendship-Bracelet-Style-Cable-Wrap-2-Siz/,Solar Oven | https://drive.google.com/file/d/1CdqLCvGN40ysJ8MRlHPS-KYpw98wJTBY/view?usp=drive_link,TinkerCAD Game Piece | https://drive.google.com/open?id=1ge0KJgVUiaSCQYDNslE1qczOuyljhAzrinsVNRIjujU,How To Apply a Vinly Decal | https://docs.google.com/document/d/1D5qDopoflQ4PM_qTRfv1qhc95A-UN3uL/edit,Trace an Image in Inkscape | https://docs.google.com/document/d/1afeIQDA7kRPlD-9IfBcTANHKL46yaDRD/edit,Embroider Your Name | https://docs.google.com/document/d/1qqNh_5BpfkRn3KvBBr757DzXfSKWn-UA/edit,Resistor Code Wheel | https://drive.google.com/open?id=1hvufvKUJdoDnYfYvqjZStlwFDl4UnQ-X,,,Flower | https://docs.google.com/drawings/d/1GQNN4V6d8tXpIkobUtDnCC_EQPqNHhKQfsohl64Cjk8/edit?usp=sharing,Animate A Character | https://docs.google.com/document/d/1jbpp2bzgKT-pF-pDcUza_E493VldeyMS/edit,,,Design a vehicle/rover for Mars,Dragonfly | https://www.youtube.com/shorts/tVX0EyBYvVA,
,,,,Blinking Eye Origami: Instructions | https://www.origamiway.com/origami-blinking-eye/,,,,,,,Fake Stained Glass | https://docs.google.com/document/d/1ljoF3uKHa_1_Y_2vFOQcaqLoh-8SUohu/edit,,,,,Pinwheel | https://docs.google.com/drawings/d/1ov00gFlmOrkyJAowCP2Q7aNajTkDJksH7Mcm96PCpdw/edit?usp=sharing,Create Animations That Talk | https://docs.google.com/document/d/16YsotkA_OI0Fw1km8DR8oS16g8BoUIOO/edit,,,,,Tetrahedron | https://docs.google.com/document/d/1CPvkqD8q4THyaOTdbSDBAyyThqqebgVn2ZAEjjyg6Z4/edit?usp=sharing
,,Fox: Instructions | http://origami.me/fox/,,Blinking Eye Origami: Video | https://youtu.be/a2SU3jRoV_4?feature=shared,,Popsicle Stick Newton's Cradle: Instructions | https://www.instructables.com/Newtons-Cradle-Out-of-Popsicle-Sticks/,,,,,,,,,,,Create A Story | https://docs.google.com/document/d/17M8EByW5HooIosIQfvx-zz0Xtl1p4uX2/edit,,,,,
