,Notebooking,Origami (Figure),Origami (Modular),Paper Craft,Paper Flight,Popsicle Sticks,Fiber Art,Hands-On Science,3D Printing 101 (Prusa Mini),Vinyl Cutting (Cameo),Laser Cutting 101 (Muse),Digital Embroidery 101 (Brother PE800),Electronics 101,Mechatronics,Engineering 101,Turtle Stitch,Block Coding 101 (scratch),Pygamer,Biomimicry,Lego,Pipe Cleaners,3D Pen
Blue,,,,NASA Starshade: Instructions | https://www.jpl.nasa.gov/edu/resources/project/space-origami-make-your-own-starshade/,,,,,Custom BRICK | https://drive.google.com/open?id=10kkz3Lm5hm-grF-s-gbYWJ6ll6kzLK1Ocu-vE1_MU1k,,,,,,,,,,,Make a 2 dimensional picture using Lego Blocks | https://youtu.be/3dY-kvNcDt8?si=BtbMzZqth4iseDhK,,
,Notebook Rough Sketch | https://drive.google.com/open?id=1aRGnYDaspwjgyWHhU1GOp7IMsLQZeWaBvKbXfdslLOg,Flapping Bird: Instructions | https://www.origamiway.com/origami-flapping-bird.shtml,Twelve Pointed Star: Instructions | https://docs.google.com/document/d/1Sa6N65Hoc1WIvCtPzR795ZfquvDLlkfF/edit,Flapping Bird: Instructions | https://www.origamiway.com/origami-flapping-bird/,Headhunter Paper Airplane: Instructions | https://www.origamiway.com/plane-headhunter.shtml,Spoon Catapult Out Of Popsicle Sticks: Video | https://www.youtube.com/watch?v=iKQaTFfhwWo,Textured Crochet Square Potholder | https://www.instructables.com/Textured-Crochet-Square-Potholder/,Straw Bridge Instructions | https://drive.google.com/file/d/1akOucflalXWMubu9WXHu8yqtMij3VNQp/view?usp=sharing,,,,,LED Stop Light Circuit | https://docs.google.com/document/d/1s7n_SGLBTTlPKZySVZilAk1ws8q7HlQk/edit,Cage Gears,Build a Spaghetti Bridge | https://www.wikihow.com/Build-a-Spaghetti-Bridge,Star | https://docs.google.com/drawings/d/1lU7kCTsR4nKMEUtM5YgEXLe78qjFGlymwdOJ9A8A2VY/edit?usp=sharing,Change Size | https://docs.google.com/document/d/1Hpnmek0HLztmtaESASCG0mqiQIuIBKee/edit,complete two whole levels of Beginner Skills Map (Theater Curtain Level) | https://arcade.makecode.com/--skillmap,,,Pipe Cleaner Crown | https://www.youtube.com/watch?v=IaJAUm2Joks,
,,Flapping Bird: Video | https://www.youtube.com/watch?v=DD1M3VrNSt4,Twelve Pointed Star: Video | https://youtu.be/HQhBOLABSkg?t=9m23s,Flapping Bird: Video | https://youtu.be/Oh03DJ0dOOc?feature=shared,Headhunter Paper Airplane: Video | https://youtu.be/LidNaWlnO5k?feature=shared,Popsicle Stick Holder: Instructions | https://www.instructables.com/Popsicle-Stick-Holder/,How to Finger Weave: Instructions | https://www.instructables.com/How-to-Fingerweave-Something/,OR Straw Bridge Video | https://youtu.be/GA93aHRDMD8?si=T6ARglUbQ_lxYkrW,,Make a Heat Transfer Design | https://docs.google.com/document/d/1ToUxPWMPBVwPsauaU0m3mG77AzXnkT1K/edit,Maker Case Box | https://docs.google.com/document/d/1O50opFhpsbVBoNCJ7VcfRnx4B2VxCJvB/edit,Multipart Patch | https://docs.google.com/document/d/1RuZHY8ptb9WwbXFFGKUn3NmpZ9ctryqI/edit,RGB LED Circuit | https://docs.google.com/document/d/1S_Iga0mpq_59w8hgqPI5iW379MQ-Yy0w/edit,,Build a Mini Siege Engine | https://www.instructables.com/id/Mini-Siege-Engines/,Reset | https://docs.google.com/drawings/d/1_SArTrXTLdDXrL6JQiy1pKtx-Q-BsiP_oLB00zCDSKA/edit?usp=sharing,Video Sensing | https://docs.google.com/document/d/1gWug_Nf1mZMw5ATMlWzU0wjBHsinoUox/edit,,,,Bubble Wand | https://www.youtube.com/watch?v=Vr_jrkd48Wc,Touch Stone | https://docs.google.com/document/d/1pyKAVGxhhAdIlh24G8zPcXu-yl7hciWN7HIAZTUs5jA/edit?usp=sharing
,,,,Origami Crane: Instructions | https://www.origamiway.com/origami-crane.shtml,,Popsicle Stick Holder: Video | https://youtu.be/gU3AqE5zzTg?feature=shared,How to Finger Weave: Video | https://www.youtube.com/watch?v=pAhuzHltIDs,Comeback Can | https://drive.google.com/file/d/1p_LeN5IUHgKT60g22BXQs2ULIO3PIiS-/view?usp=drive_link,,How to Operate the Heat Press | https://docs.google.com/document/d/1gZX95vsLJHtNTK8G22r12zt5wgir5w67/edit,,,RGB LED Cu Tape Circuit | https://docs.google.com/document/d/1G72STvxmJHXbFFFu8L5aLgF5cucDzMC0/edit,,,,,,,,,
,,Traditional Crane: Instructions | https://www.origamiway.com/origami-crane.shtml,,Origami Crane: Video | https://youtu.be/GC_Szxdqh2Y?feature=shared,,Popsicle Stick Hexagon Shelf: Instructions | https://www.instructables.com/Popsicle-Sticks-Hexagon-Shelf/,,OR Comeback Can Video | https://youtu.be/-DPxl7Ik93k?si=YZEzzAqT2VaU9Ybd,,,,,,,,,,,,,,
,,Traditional Crane: Video | https://www.youtube.com/watch?v=KfnyopxdJXQ,,Hedgehog: Instructions | https://drive.google.com/file/d/1AURaDMXQaVNFUenuWLPyCnlwDp3fZ-8I/view?usp=sharing,,Popsicle Stick Hexagon Shelf: Video | https://youtu.be/D61inpGzPUc?feature=shared,,Hovercraft Instructions | https://www.scienceworld.ca/resource/balloon-hovercraft/,,,,,,,,,,,,,,
,,,,Hedgehog: Video | https://youtu.be/qmeGnV0rz5E?feature=shared,,,,OR Hovercraft Video | https://youtu.be/iujDMqL_448?si=jOtEGtRhQTBBIndM,Custom Cookie Cutter | https://docs.google.com/document/d/1-bPp7kwhK2IwONXSVg0EuA-Bo0SGaFJ0eQahFJPu_iQ/edit?usp=sharing,,,,,,,,,,make a cockroach robot,1) Connect a Lego Spike Brick to your Laptop | https://spike.legoeducation.com/prime/start/,,
Purple,,,,,,,,,,,,,,,,,,,,,,
,Notebook Detail Sketch | https://drive.google.com/open?id=15KiIzkpOb8_odfrRTeadHHxGLxmw2ugRQerdM7kJc5s,Iris: Instructions | http://origami.me/iris/,Fold a Sonobe Module: Instructions | https://docs.google.com/document/d/1dgxhr5qlsitkkgiaY6wlGuSyngiL0EHh/edit,Paper Robot: Instructions | https://www.instructables.com/id/Paperbot-Paper-Robot-to-Print-Out-and-Make/,Pet Dragon Paper Airplane: Instructions | https://www.origamiway.com/plane-pet-dragon.shtml,Popsicle Stick Motorboat: Instructions | https://www.instructables.com/Popsicle-stick-motorboat/,Yarn Jewelry | https://www.instructables.com/Pantry-Yarn-Jewelry/,Paddle Boat | https://drive.google.com/file/d/1kUiCEnFz4VwxUuQrxV0K4cSak_jYUZmF/view?usp=drive_link,,,,,How a Capacitor Works | https://docs.google.com/document/d/1Ili_5KdyCszRVXzE9q-lnFbVPZ95H1xZ/edit,Laser Cut Spirograph | https://docs.google.com/document/d/1ZwWYj9OczMhbOE9G3NO_n5U6EHvN4-MU/edit,Build a Rubber Band Car | https://yourmoderndad.com/diy-rubber-band-racer/,Triangle Spiral | https://docs.google.com/drawings/d/1VAEY7Ewmn_zX7cjmAFo5-W2JtLKJJbx2fAr4IZc2bhw/edit?usp=sharing,Pong Game | https://docs.google.com/document/d/18fnU7uyihVNTblfUJEDiH0wSgJ1Nd5ra/edit,Complete all the levels of the Beginner Skills Map (Kaiju Dinosaur Level) | https://arcade.makecode.com/--skillmap,,2) Learn to program a Lego Spike Block to roll in a square. | https://spike.legoeducation.com/prime/start/,Spider | https://www.youtube.com/watch?v=ZvVvupxVEuw,
,,Iris: Video | https://www.youtube.com/watch?v=QY9LE0bDFxY,Fold a Sonobe Module: Video | https://www.youtube.com/watch?v=TKGW2W168H0,Paper Robot: Video | https://youtu.be/qkUuGVyu3cg?feature=shared,Pet Dragon Paper Airplane: Video | https://youtu.be/oqeNcIHlePc?feature=shared,Popsicle Stick Motorboat: Video | https://youtu.be/dhV3h-Hjpmk?feature=shared,Trollen Wheel Weaving: Instructions | https://www.instructables.com/Viking-Braids-Make-a-Trollen-Wheel/,OR Paddle Boat Video | https://youtu.be/PlANTECC-QA?si=IjY30kQVq7ImkQF4,,Make a 2-Color Decal | https://docs.google.com/document/d/1UwbTx0Rt6fbwfz9Cgue8KVpuds2Tfzok/edit,Laser Cut Spirograph | https://docs.google.com/document/d/1Kx1n7EJ7s3bKNhFk0jXMh2GU8BqYi3GJ/edit,Add an Applique | https://docs.google.com/document/d/1IOvIZfmdBF1oxf-nHhZwZMhucqp9r5xU/edit,,,Try the Egg Drop Challenge | https://buggyandbuddy.com/stem-kids-egg-drop-project/,,Animate an Adventure Game | https://docs.google.com/document/d/1bCDnYcWVfkNaeFdcyIc_qVqCT6AaokUu/edit,,,,Ice Cream Cone Keychain | https://www.youtube.com/watch?v=q6DJt7ASzWQ,Finishing | https://docs.google.com/document/d/1NSM3ctQB_YjTxcnqILpmdczwvcTzf_UzTbY3WXN8j0Q/edit?usp=sharing
,,,Transforming Ninja Star: Instructions | https://www.origamiway.com/origami-transforming-ninja-star.shtml,Cardboard Phone Stand: Instructions | https://i.ytimg.com/vi/eFnLHOCWO3o/maxresdefault.jpg,,Popsicle Stick Birdhouse: Instructions | https://www.instructables.com/Popsicle-Stick-Birdhouse/,Trollen Wheel Weaving: Video | https://www.youtube.com/watch?v=q9giXHTOpYE,,,,,,,,Water Balloon Catapult | https://www.msichicago.org/fileadmin/assets/online_science/summer_brain_games/activity_PDFs/SBG12_Catapult.pdf,,Imagine a World | https://docs.google.com/document/d/1iEdsogsZrLmAEmLmr8C7DB2EPuGg8UoA/edit,,,,,
,,Lion: Instructions | http://origami.me/lion/,Transforming Ninja Star: Video | https://www.youtube.com/watch?v=n01fsCDWAUc,Cardboard Phone Stand: Video | https://youtu.be/eFnLHOCWO3o?feature=shared,,Popsicle Stick Birdhouse: Video | https://youtu.be/L_s0M5Z8Nm8?feature=shared,,Newspaper Fort | https://drive.google.com/file/d/1B03vIpJrk3OWNSD1uPnig3MQiapCKm17/view?usp=drive_link,,,,,,,Tensegrity Flying Man | https://drive.google.com/file/d/1MMonoBmbj4pA3U2bIDErOIUexkple7JQ/view?usp=sharing,,,,,,,
,,Lion: Video | https://www.youtube.com/watch?v=XSM0DTx7nZE,,,,Popsicle Stick Shutter Lamp Shade: Instructions | https://www.instructables.com/Make-a-Popsicle-Stick-Shutter-Lamp/,,OR Newspaper Fort Video | https://youtu.be/TV2Fpq8s9Ws?si=BnylX105FK3kOvVv,,,,,,,,,,,,,,
,,,,,,Popsicle Stick Shutter Lamp Shade: Video | https://youtu.be/rLPnaF2Dy7k?feature=shared,,,Head Scan | https://drive.google.com/open?id=1_4dD4H4J8Eq4S0eCQBxYwxvhclI2bIXJS9febTysEe8,,,,,,,,,,Make a automated claw hand,,,
Brown,,,,,,,,,Altered Head Scan | https://drive.google.com/open?id=1iE-VRqtvK6xV4u7fhxch5KTYHn3k-Npcq9Pc5g1zKZM,,,,,,,,,,,,,
,Sketch Model | https://drive.google.com/open?id=15NXBMsNSQi01KFgzgrY-GwT2-yyIsa7U1DzxTN6ImAs,Seal: Instructions | http://origami.me/seal/,Assemble Simple Sonobe Models: Instructions | https://docs.google.com/document/d/1XRv37KP5nvnkTTfHkhthh6XgjaloLgzj/edit,3D Cat-In-Box Automata | https://youtu.be/c7HKJqTHGbQ,Infinity Arrow Paper Airplane: Instructions | https://www.origamiway.com/plane-infinity-arrow.shtml,Popsicle Stick Shutter Lamp Shade: Instructions | https://www.instructables.com/Make-a-Popsicle-Stick-Shutter-Lamp/,Complete an Embroidery Project | https://www.instructables.com/Zodiac-Embroidery/,Hot Air Balloon | https://drive.google.com/file/d/1FnFf9_HAUDPQ54H20Ek2kcH-Cag_g3ck/view?usp=drive_link,,,,,555 Blinking Light | https://docs.google.com/document/d/1j0SF_83C7RftXOv9LFS2dyUrataAOEXf/edit,Arduino Programming -Servo | https://learn.adafruit.com/adafruit-arduino-lesson-14-servo-motors?view=all,Build a Propeller Toy | https://www.instructables.com/Hand-powered-vintage-propeller-toy/,Spiral Challenge | https://docs.google.com/drawings/d/1NBk9wr1xm88aX6Qs7Gi_P9LprBvTz5cxrwr9293Jp_s/edit?usp=sharing,Check out some of the code made by other makers! | https://docs.google.com/document/d/1yit0Z6teBUKhRMHCQd7CnutXRShxh0cz/edit,Create a Game that incorporates the Lights at the Bottom of the Pygamer.,,Design a robot that does a particular job.,Pipe Cleaner Dragon | https://frugalfun4boys.com/pipe-cleaner-dragons/,
,,Seal: Video | https://www.youtube.com/watch?v=U3SH59mHURA,Assemble Simple Sonobe Models: Videos | https://www.youtube.com/watch?v=WasvUFXmACk,Red Panda Mask: Instructions | https://drive.google.com/file/d/18ycBCaeZMxluWkBjNt6LQaDYsNmdP6IZ/view,Infinity Arrow Paper Airplane: Video | https://youtu.be/KIGEBjiBDFM?feature=shared,Popsicle Stick Shutter Lamp Shade: Video | https://youtu.be/rLPnaF2Dy7k?feature=shared,(Skip the LED portion),OR Hot Air Balloon Video | https://youtu.be/2t170Kb9Fz8?si=LAdqHX2kMDYUcCY6,,3+ Color Decal | https://docs.google.com/document/d/1Tc6vsuXBtJXbRC0qWsRk_SMfgxlO4TZA/edit,Laser Cut Pantograph | https://docs.google.com/document/d/1CVJ4ADuGut4tn-0go_BBH5LIO91tQ-bI/edit,Puffy Embroidery | https://docs.google.com/document/d/1-CEx8VKVYznZnVA5EttqWfSQJqTHD5_N/edit,555 Photo Theremin | https://docs.google.com/document/d/1Xp465RMT_ucVlGSQLFQeh7BdEgJGra1j/edit,,Build a Propeller Car | https://www.instructables.com/id/Propeller-Powered-Car/,Density | https://docs.google.com/drawings/d/12aUaC9w3VJKcBLAsvKhr5_t270RUwgLw8LIMaBu-dwo/edit?usp=sharing,,,,,,Replicate Desk Item | https://docs.google.com/document/d/1Qi-7Ht8BglI8NinXAua0_Wb_IHTuOMyyq4kfGSgvSLc/edit?usp=sharing
,,,,Red Panda Mask: Video | https://youtu.be/1EQl9iUae8E?feature=shared,,Popsicle Stick Ring: Instructions | https://www.instructables.com/Popsicle-Stick-Ring/,Try three different String Art Patterns - and make a gift card USING:,,,,,,,,Build a Dragonfly Helicopter | https://sciencetoymaker.org/dragonfly-helicopter/copter-common-materials/,,,,,,,
,,Rabbit: Instructions | http://origami.me/rabbit/,,Paper Basket: Instructions | https://www.instructables.com/Recycled-Paper-Basket/,,Popsicle Stick Ring: Video | https://youtu.be/M-oDO7HaenU?feature=shared,Different Shape String Art Templates: Instructions | https://www.instructables.com/String-Art-Valentine-Cards-and-Other-Holidays/,,,,,,,,Balloon Racer | https://www.msichicago.org/fileadmin/assets/online_science/summer_brain_games/activity_PDFs/SBG13_Racer.pdf,,,,,,,
,,Rabbit: Video | https://www.youtube.com/watch?v=6QqBvy_yO_M,,Paper Basket: Video | https://youtu.be/wWDzSA3X63M?feature=shared,,Popsicle Stick Folding Chair: Video | https://youtu.be/jAi6S_5krTo?feature=shared,Different Shape String Art Templates: Video | https://www.youtube.com/watch?v=IANCecGCzi8,,,,,,,,,,,,,,,
,,,,,,Popsicle Stick Bridge: Instructions | https://www.instructables.com/Popsicle-Stick-Bridge/,Thread Triangular Art Card | https://www.instructables.com/silk-thread-triangular-art-card/,,Assemble a Screwless Gear Cube | https://docs.google.com/document/d/12ymvx_31TNeZy9h9VrEQz7n7j1GnxK6o1-z7bdzuhms/edit?usp=sharing,,,,,,,,,,Make a automated robot hand,,,
Black,,,,,,Popsicle Stick Bridge: Video | https://youtu.be/eGM36jU_364?feature=shared,,,Custom Secret Message Container | https://docs.google.com/document/d/1_uasA_Za-9T3Y_kVKt417sgiWPoqRAt1uy8vS634EAE/edit?usp=sharing,,,,,,,,,,,Create a Lego Rover/ Robot using Lego Spike | https://youtu.be/8MXGh5VE9Bs?si=cRypSLi1tK6CrvkL,,
,Recording Data | https://docs.google.com/document/d/1bKx6wJshooVdf_zz6WHUsWKLmMczZWH88G_hvAS-apI,Parrot: Instructions | http://origami.me/parrot/,Assemble a Complex Sonobe Model: Instructions | https://docs.google.com/document/d/1QRrfGQSA7azPW3cT8g7CkTuAKP8LWXd0/edit,Walking Paper Mech Warrior or Robot: Instructions | https://www.instructables.com/Walking-Papercraft-Mech-Warrior/,Star Crusher Paper Airplane: Instructions | https://www.origamiway.com/plane-star-crusher.shtml,Popsicle Stick Helicopter: Video | https://youtu.be/LEfU-ke-oVk?feature=shared,"Complete an Independent Embroidery Project -- find your own template online, and follow previous instructions",Stomp Rocket | https://drive.google.com/file/d/1WkN1uyYV0oMvkOrO9HOMc5VE12K6A4hU/view?usp=drive_link,,,,,555 Octave Keyboard | https://docs.google.com/document/d/1cIlo2cDxQ_rc0dzkP_IOSqML8NCB3rIW/edit,Create your own Autonomous Robot,Build a Rubber Band Plane | https://www.instructables.com/id/Rubber-Band-Powered-Aeroplane/,Fractal Tree | https://docs.google.com/drawings/d/1NXVwLRsZARla142sQRdeH58kNO7j1rqDm7aQCV1KJd4/edit?usp=sharing,Create your very own and share it! | https://docs.google.com/document/d/1JUsbLTMXUavC93ovxRrKqxaG_FePn7F5/edit,Set the PyGamer to control an external light or Buzzer.,,,5NOF Cupcake | https://www.youtube.com/watch?v=-BhZbZNmmWA,
,,Parrot: Video* | https://www.youtube.com/watch?v=lchxv2BOg6M,Assemble a Complex Sonobe Model: Video | https://www.youtube.com/watch?v=rWWyDVBV-qc,Walking Paper Mech Warrior or Robot: Video | https://youtu.be/azixGAjPC1Q?feature=shared,Star Crusher Paper Airplane: Video | https://youtu.be/5iqFlEpQs0U?feature=shared,Popsicle Stick Marble Labyrinth: Instructions | https://www.instructables.com/Popsicle-Stick-Marble-Labyrinth/,,OR Stomp Rocket Video | https://youtu.be/9oZSBSYB1_o?si=Sis4McMY5Nzs_scN,,Draw & Cut with the Vinyl Cutter | https://docs.google.com/document/d/1_Luof-f1lRxi2Ww00u1SrfLTtiCy3-Kv/edit,Laser Cut Gear Box | https://docs.google.com/document/d/1r0OgOqTrdItJCz_fC6pdsqJGu5BRHDCC/edit,Sewing an External File | https://docs.google.com/document/d/1fUh9h8QnOMm4nQWjyDDRYclUBADgCAA3/edit,,,Rube Goldberg Machine | https://drive.google.com/file/d/1k4xgxYNdcNUu5eqj4_BAfpkjvlnhQgoi/view?usp=drive_link,,,,,,Giant Sunflower | https://www.youtube.com/watch?v=f6d1ds6GMR8,Human/Animal Sculpture | https://docs.google.com/document/d/1fBGlOvx904XiWFO-_pvBuOdYJy2JgbG19urWJj5I7A0/edit?usp=sharing
,,,,Rabbit eating Carrot Automaton : Instructions | https://drive.google.com/file/d/1IHAyK4fpdj5Z5omyYo-24t0BrAIumabE/view?usp=sharing,,Popsicle Stick Marble Labyrinth: Video | https://youtu.be/1yIxqWfaczg?feature=shared,,Hot Glue 3D Water Printing | https://docs.google.com/presentation/d/1-7Fn-l2FIu0Lt7eOuAriNNzYmrxwMMgcfrxu_Cpru7A/edit?usp=sharing,,,,,,,Scribble Bot | https://www.msichicago.org/fileadmin/assets/online_science/summer_brain_games/activity_PDFs/SBG15_space_bot.pdf,,,,,,Giant Flower | https://www.youtube.com/watch?v=0fqAcTThF3c&t=70s,
,,Advanced Frog: Instructions | http://origami.me/traditional-frog/,,Rabbit eating Carrot Automaton : Video | https://youtu.be/SxvO-kNyOOU?feature=shared,,,3d String art - USE POPSICLE STICKS and small hole puncher | https://www.instructables.com/Desktop-3D-String-Art/,,,,,,,,,,,,,,,
,,,,,,,G,,,,,,,,,,,,,,,
